SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
SUC001,Leche Pil,7501234567891,Lacteos,2027-06-15,PIL,12.50,100
SUC001,Queso Guatemala,7501234567892,Lacteos,2026-08-20,Del Corral,35.00,50
SUC001,Mantequilla,7501234567893,Lacteos,2027-03-01,La Vaquita,28.00,75
SUC002,Pan Bimbo,7501234567894,Panaderia,2026-05-10,Bimbo,8.50,200
SUC002,Café Rex,7501234567895,Bebidas,2027-01-01,Nestlé,22.00,75
SUC002,Agua Cristal,7501234567896,Bebidas,2026-12-31,Cristal,5.00,300
SUC003,Arroz Premium,7501234567897,Granos,2027-12-31,SUPER MARIO,15.00,300
SUC003,Frijoles Rojos,7501234567898,Granos,2027-06-30,Tio Pelo,18.50,150
SUC003,Aceite Premium,7501234567899,Granos,2027-04-15,Capri,32.00,80
SUC004,Coca Cola 2L,7501234567900,Bebidas,2026-09-15,Coca-Cola,12.00,80
SUC004,Sprite 2L,7501234567901,Bebidas,2026-09-15,Coca-Cola,12.00,80
SUC004,Fanta 2L,7501234567902,Bebidas,2026-09-15,Coca-Cola,12.00,70
SUC005,Detergente Ariel,7501234567903,Limpieza,2027-03-20,P&G,28.00,60
SUC005,Jabón Lever,7501234567904,Limpieza,2027-04-15,Unilever,15.00,90
SUC005,Cloro Limpio,7501234567905,Limpieza,2027-02-28,Limpio,18.00,100
SUC001,Embutido Fresco,7501234567906,Embutidos,2026-06-15,El Carnicero,45.00,40
SUC002,Galletas Oreo,7501234567907,Snacks,2027-07-20,Nabisco,15.00,150
SUC003,Atún Alamar,7501234567908,Enlatados,2028-01-01,Alamar,22.00,120
SUC004,Cereal Zucaritas,7501234567909,Cereales,2027-09-01,Kellogg's,35.00,60
SUC005,Mezcla para Tortillas,7501234567910,Granos,2027-05-30,Maseca,25.00,200
